General Assumptions,Confirmed,,,,,,,,,
Estimations are made for L2+ developer level,yes,,,,,,,,,
Contingency reserve is not included,yes,,,,,,,,,
Only front-end part of the application (web development) was estimated. Back-End and/or Mobile (native/cross-platform) estimates are not included.,yes,,,,,,,,,
"Before Front-End implementation is started, we assume that Styleguides, governance and UX design are available and ready for use ",yes,,,,,,,,,
UX design implementation estimates are not included and should be done separately by UX team,yes,,,,,,,,,
Business and Technical stakeholders are available throughout the Discovery phase to provide clarifications on business/technical requirements,yes,,,,,,,,,
"UI pages will be adaptive for different desktop screen resolutions (without mobile, tablet support (no touch support))",no,,,,,,,,,
"Localization will be supported for texts, dates without RTL/Hieroglyphs",yes,,,,,,,,,
"Application looks like internal business portal, so we do not estimate any effort on GDPR or other governance regulations, SEO optimizations and Accessibility",yes,,,,,,,,,
"For more cases, please, look at the tab ""Typical Assumptions""",,,,,,,,,,
,,,,,,,,,,
Development Effort Multipliers,85%,,,,,,,,,
"Look at the tab ""Dev Effort Multiplicators"" to calibrate % based on project",,,,,,,,,,
"UX design (responsive, adaptive)",10%,,,,,,,,,
"Browsers supported matrix: (Chrome, Mozilla, IE Edge, Safari)",10%,,,,,,,,,
"SEO optimization (semantic, meta, content optimization)",5%,,,,,,,,,
"Analytics and site metrics collection (GTM integration, etc.)",5%,,,,,,,,,
Localization/Globalization is performed/needed. RTL/Hieroglyphs.,5%,,,,,,,,,
"Unit test coverage (UI-60%, 80% - logical)",30%,,,,,,,,,
"Accessibility support, Compliance level (AA)",10%,,,,,,,,,
"Documentation (Storybook, code comments, JS docs)",5%,,,,,,,,,
Unknown final UX design of the screens,5%,,,,,,,,,
,,,,,,,,,,
Risks Multipliers,60%,,,,,,,,,
Bugfixing,30%,,,,,,,,,
"Communication/process overhead (meetings, scrum ceremonies, code review, tasks discussions, etc.)",30%,,,,,,,,,
,,,,,,,,,,
Story Point Size (Ideal man/hours),5,,,,,,,,,
,,,,,,,,,,
,,,,Total Development Effort (days),,,416,,,
Module/Epic,Activity/Feature,Assumptions/Comments,"Relative 
complexity
estimation (Fibonacci)","Development estimation
(FTE in Hours)*","Are Development Effort Multipliers Applicable?
(0-...-1)",Final Development Activity (hours),Final Development Activity (m/d) per Feature,Assumptions,Dependancies,Risks
Project architecture/structure setup,"Project starter (framework, state management, etc)",,5,8,0.5,18.2,3,,,
,"CI/CD setup (building, transpiling, linting, configs, tests), integration with tools",,5,8,0,12.8,2,,,
,"Readme (ex: deployment instructions, etc)",,3,4,0,6.4,1,,,
Base components and styles,"Styleguide setup (iconography, typography, colors, etc)",,3,4,0,6.4,1,,,
,Authentication/Authorization setup,"Auth Code Architecture
SDK Integration
Route Protection
Zustand Store
Interceptor",,13,0,20.8,3,,,
,Theming,Shadcn UI and Tailwind CSS,8,4,0.5,9.1,2,,,
,Router configuration,,5,6,0,9.6,2,,,
,Multi-language setup (i18n),,5,8,0,12.8,2,,,
,"Basic website components (header, footer, menu, notifications and error handling)",,8,16,0.5,36.5,5,,,
,Analytics and site metrics collection (Basic script),,3,4,0,6.4,1,,,
Basic functionality,,,,,,0.0,0,,,
,,,,,,0.0,0,,,
,,,,,,0.0,0,,,
,,,,,,0.0,0,,,
,,,,,,0.0,0,,,
Profiles control,,,,,,0.0,0,,,
,,,,,,0.0,0,,,
,,,,,,0.0,0,,,
Functional Components,1. Participant Quick Links Navigator,,,,,,0,,,
Contentful Components,"High Complexity - 7
1. Home Page
2. Benefits. > Health Benefits Page
3. Benefits. > Pension & IAP
4. Benefits. > Wellness Program
5. Resources > Education Videos
6. Resources > Upcoming Webinar
7. Forms
8. Forms By Topic",,8,64,0.1,111.1,14,,,
Contentful Components,"Medium Complexity - 11
1. Benefits. > Health Eligibility
2. Resources > MPI News
3. Resources > MPI Notices
4. Resources > MPI Seminar
5. Resources > Wellness Resources
6. FAQs
7. Wildfire Assistance
8. Emotional Wellbeing
9. Community Financial Assistance
10. Entertainment Health Insurance Solutions
11. Weather Relief",,5,66,0.1,114.6,15,,,
Contentful Components,"Low Complexity - 26
1. Benefits. > Mental Health Benefits
2. MP3 Provider
3. MP3 Provider > FAQs
4. MP3 Provider > MP3 Pediatrics and OBGYN
5. Participant Services Center
6. Wellness Calender
7. About
8. Contact
9. Schedule a Visit - Studio City
10. Schedule a Visit - New York
11. Privacy Rights
12. GDPR Compliance
13. Refund Policy
14.Terms of Use
15. Notice of Non-Disclosure
16. Trust Agreements
17. Third Party Settlement /
18. Reimbursements
19. Grandfathered Status
20. Online Security Tips
21. No Surprises Act
22. NoticeOfPrivacyPractices
23. COVID19_LatestUpdate
24. About Mp3 Provider
25. MP3 Provider Lists
26. Referral System - Aerial",,5,104,0.1,180.5,23,,,
Integration Components,1. Wellness Calender,Low,5,4,0.5,9.1,2,,,
Integration Components,2. MP3 Provider > Provider Search,High,5,16,0.5,36.5,5,,,
Integration Components,3. Resources > Upcoming Webinar,Low,5,4,0.5,9.1,2,,,
Integration Components,4. Request a retirement counseling phone call,Cannot Access - Assuming Medium,5,8,0.5,18.2,3,,,
Integration Components,3. Schedule a Visit - New York - https://www.mpiphp.org/home/contactus (Require Login),High,5,16,0.5,36.5,5,,,
Integration Components,4. Schedule a Visit - Studio City - https://www.mpiphp.org/home/contactus (Require Login),High,5,16,0.5,36.5,5,,,
Integration Components,5. Pay Premium,High,5,16,0.5,36.5,5,,,
Integration Components,6. Check Hours,Cannot Access - Assuming Medium,5,8,0.5,18.2,3,,,
Integration Components,7. Chat PopUp,Low,5,4,0.5,9.1,2,,,
Integration Components,8. Participant Quick Links Navigator,Low,5,4,0.5,9.1,2,,,
Form Components,1. Participants Login,Medium,5,8,0.5,18.2,3,,,
Form Components,2. Registration,High,5,16,0.5,36.5,5,,,
Form Components,3. Forgot Password,Low,5,4,0.5,9.1,2,,,
Form Components,4. Verify Code,High,5,6,0.5,13.7,2,,,
Form Components,5. Forgot Username,High,5,6,0.5,13.7,2,,,
Form Components,6. Remember Username,Low,5,2,0.5,4.6,1,,,
Form Components,7. Reset Password,High,5,16,0.5,36.5,5,,,
Form Components,Provider > Medical Benefit Preauthorization - https://www.mpiphp.org/home/provider/providercontactus,High,5,16,0.5,36.5,5,,,
Form Components,Provider > Speech Therapy Preauthorization - https://www.mpiphp.org/home/provider/providercontactus,High,,16,0.5,36.5,5,,,
Form Components,Provider > Pharmacy Benefit Preauthorization - https://www.mpiphp.org/home/provider/providercontactus,High,,16,0.5,36.5,5,,,
Form Components,Contact Form - https://www.mpiphp.org/home/contactus/inquiry (Require Login),,,12,0.5,27.4,4,,,
Form Components,Request a retirement counseling phone call - https://www.mpiphp.org/home/contactus (Require Login),Assuming the form is simple,,4,0.5,9.1,2,,,
Form Components,5 Commonly Used Forms - https://www.mpiphp.org/home/forms/topforms (Require Login),,,0,0.5,0.0,0,,,
Form Components,    5.1 Change of Address Form,High,,16,0.5,36.5,5,,,
Form Components,    5.2 Enrollment Form,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,    5.3 Life Insurance/Pension Beneficiary Designation Form,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,    5.4 Form 1: Participant Questionnaire - blob:https://www.mpiphp.org/c77fcc0f-1138-4ee5-8ec2-fc9334f9c973,Medium,,8,0.5,18.2,3,,,
Form Components,    5.5 Form 3: Declaration - blob:https://www.mpiphp.org/1d1f8350-bc6f-4ce0-8f1d-b3ae1d7f4f5e,Medium,,6,0.5,13.7,2,,,
Form Components,    5.5 Authorization for Release of Health Info….,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,    5.6 Benefit Selection Form,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,    5.7 End of Re-employment Notification Form - blob:https://www.mpiphp.org/f59412ad-0aa3-4fd3-89c2-089688fbdfb3,Low,,6,0.5,13.7,2,,,
Form Components,    5.8 Claim Review Request Form - blob:https://www.mpiphp.org/d535e57d-0b9f-43e4-895c-d021629e5c70,High,,16,0.5,36.5,5,,,
Form Components,    5.9 Online Health Enrollment,,,6,0.5,13.7,2,,,
Form Components,    5.5 Authorization for Release of Health Info...,,,6,0.5,13.7,2,,,
Form Components,    5.6 Benefit Selection Form,,,6,0.5,13.7,2,,,
Form Components,    5.7 End of Re-employment Notification Form,,,6,0.5,13.7,2,,,
Form Components,    5.8 Claim Review Request Form,,,6,0.5,13.7,2,,,
Form Components,    5.9 Online Health Enrollment,Assuming the form is simple,,8,0.5,18.2,3,,,
Form Components,6 Forms By Topic - https://www.mpiphp.org/home/forms/bytopic (Require Login),,,0,0.5,0.0,0,,,
Form Components,    6.1 Claim Forms - https://www.mpiphp.org/assets/files/forms/claims/English_CA_member_claim_form.pdf,High - Offline Form,,16,0.5,36.5,5,,,
Form Components,    6.2 Complaint Form - https://www.mpiphp.org/assets/files/forms/claims/International-Claim-Form-US-fillable.pdf,Very High - Offine Form,,0,0.5,0.0,0,,,
Form Components,    6.3 ANTHEM BLUE CROSS,,,0,0.5,0.0,0,,,
Form Components,        6.3.1 Blue Cross/Blue Shield GlobalCore International Claim Form - https://www.mpiphp.org/assets/files/forms/claims/International-Claim-Form-US-fillable.pdf,Very High - Offine Form,,0,0.5,0.0,0,,,
Form Components,        6.4.1 Third Party Liability/Workers Compensation Form - blob:https://www.mpiphp.org/e355b57c-5703-4ee8-bc8d-aa2638110f26,High,,16,0.5,36.5,5,,,
Form Components,    6.4 REVIEW YOUR PERSONAL INFORMATION,,,0,0.5,0.0,0,,,
Form Components,        Complaint Form - blob:https://www.mpiphp.org/80d0a85b-2a8e-4c54-8ee6-e0bd3f606345,Medium,,8,0.5,18.2,3,,,
Form Components,    GRANT ACCESS TO OR RESTRICT USE OF YOUR PERSONAL INFORMATION,,,0,0.5,0.0,0,,,
Form Components,        MPIHP Authorization Form - blob:https://www.mpiphp.org/1b124c71-933b-48a5-a72c-01f08324df20,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,        Authorization Revocation Form - blob:https://www.mpiphp.org/398be413-29a0-4d30-a52b-3544ed461806,Medium,,8,0.5,18.2,3,,,
Form Components,        Right To Request Confidential Communications - blob:https://www.mpiphp.org/562bf513-8e4a-4bed-8ab5-22712265f2a5,Medium,,8,0.5,18.2,3,,,
Form Components,        Right to Request Restrictions - blob:https://www.mpiphp.org/791fbf9b-9290-4885-b51f-95cafc3655e8,Medium,,8,0.5,18.2,3,,,
Form Components,        Authorization for Release of Pension and IAP Information,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,    REQUEST THAT MPI ADD INFORMATION TO YOUR RECORDS ,,,0,0.5,0.0,0,,,
Form Components,        Right to Amend Your Records - blob:https://www.mpiphp.org/20fcbea7-b9be-48cc-b81c-020089167ee6,Medium,,8,0.5,18.2,3,,,
Form Components,    RECEIVE AN ACCOUNTING/COPY OF YOUR INFO SHARED BY MPI WITH ANOTHER PARTY,,,0,0.5,0.0,0,,,
Form Components,        Right to Request an Accounting of Disclosures - blob:https://www.mpiphp.org/6ef43975-c8c0-48c8-8cab-69c9893a0e23,Medium,,6,0.5,13.7,2,,,
Form Components,        Right to Request Access - blob:https://www.mpiphp.org/1130773e-00ff-465d-bdce-4aae2962f1bf,Medium,,8,0.5,18.2,3,,,
Form Components,    MEDICAL REVIEW FORMS,,,0,0.5,0.0,0,,,
Form Components,        Out-of-Country Medication Override Form - blob:https://www.mpiphp.org/0753dc16-6db5-428c-b61c-76269cd461ee,High,,16,0.5,36.5,5,,,
Form Components,        Work-Related Travel Vaccine/Travel Medication Preauthorization Request - blob:https://www.mpiphp.org/3f2c64b8-d1c2-4684-98bd-e2c956c7b57e,High,,16,0.5,36.5,5,,,
Form Components,    HEALTH PLAN FORMS,,,0,0.5,0.0,0,,,
Form Components,        CHANGE YOUR PERSONAL INFORMATION,,,6,0.5,13.7,2,,,
Form Components,            Change of Address Form - https://www.mpiphp.org/assets/files/forms/general/480_Eligibility_InternationalChangeof%20Address_V03.pdf (form assumtion),Under Login. - Assuming the form is medium complexity,,16,0.5,36.5,5,,,
Form Components,            Change Your Name,Low,,2,0.5,4.6,1,,,
Form Components,        ENROLL YOURSELF IN HEALTH PLAN,,,0,0.5,0.0,0,,,
Form Components,            Participant Other Insurance Information - blob:https://www.mpiphp.org/61272fb5-cfd2-4035-8468-7b09f17bd60c,High,,16,0.5,36.5,5,,,
Form Components,            Benefit Selection Form,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,            Authorization for Release of Health Information Form,Under Login. - Assuming the form is medium complexity,,8,0.5,18.2,3,,,
Form Components,        ENROLL YOUR SPOUSE IN HEALTH PLAN,,,0,0.5,0.0,0,,,
Form Components,            Form 1: Participant Questionnaire - blob:https://www.mpiphp.org/27e6663b-116e-4889-9b43-a7a0d07c1eb0,High,,16,0.5,36.5,5,,,
Form Components,            Form 3: Declaration - blob:https://www.mpiphp.org/394cc90b-5b1e-48f1-a3fb-ce7a83ceed4b,High,,16,0.5,36.5,5,,,
Form Components,        ENROLL YOUR CHILD(REN) IN HEALTH PLAN,,,0,0.5,0.0,0,,,
Form Components,            Biological Child(ren),,,0,0.5,0.0,0,,,
Form Components,                Other Parent Insurance Information Form - blob:https://www.mpiphp.org/ba3caf47-7f7c-4a4f-83aa-1348a18e9cb1,High,,16,0.5,36.5,5,,,
Form Components,"            Stepchild, Foster Child, Adopted Child or Child for Whom You are the Legal Guardian",,,0,0.5,0.0,0,,,
Form Components,                Non-Biological Child Application (Active & Retiree) - blob:https://www.mpiphp.org/7224583b-f355-42b2-ab31-570cdaa27358,Low,,6,0.5,13.7,2,,,
Form Components,            Student Child Age 19 - 23,,,0,0.5,0.0,0,,,
Form Components,                Active Participant Full-Time Student Certification Form - blob:https://www.mpiphp.org/c30f81c3-283f-4bc4-856b-d413773446a1,Medium,,8,0.5,18.2,3,,,
Form Components,                Retiree Participant Full-Time Student Certification Form - blob:https://www.mpiphp.org/97811391-cc65-4f58-9bd8-ae1b43fbf53c,Medium,,6,0.5,13.7,2,,,
Form Components,            Adult Child Age 19 - 26 (Active Plan only),,,0,0.5,0.0,0,,,
Form Components,                Adult Dependent: Coordination of Benefits Form - blob:https://www.mpiphp.org/13c343f6-ca3d-46f7-90e5-76b9620dd378,High,,16,0.5,36.5,5,,,
Form Components,            AUDIT OF HOURS INFORMATION,,,0,0.5,0.0,0,,,
Form Components,                Work Hours Audit Request Form - blob:https://www.mpiphp.org/6f0e7f29-fcf9-4ca5-8937-3c6b94bc916f,High,,16,0.5,36.5,5,,,
Form Components,        PENSION FORMS,,,0,0.5,0.0,0,,,
Form Components,            UPDATE YOUR PENSION PAYMENT INFORMATION,,,0,0.5,0.0,0,,,
Form Components,                Direct Deposit Form,Low,,2,0.5,4.6,1,,,
Form Components,            RE-EMPLOYMENT AFTER RETIREMENT,,,0,0.5,0.0,0,,,
